Breed,Age,Preferred Foods,Weight
Stray Dog,5,"Meat, sausages with rice ",25
Rhodesian Ridgeback,3,"Fish, chicken, rice and dhal",30
Labrador ,2,Meat and rice with dhal and yoghurt,40
Husky ,3,Chicken with vegetables. and rice,35
Rotweiler,5,"Fish, Carrot, Potetoes",37
Rotweiler,3,Rice with fried fish,43
Rotweiler,2,Fish and carrot,30
Bullmastif,3,"Fish, meat and Eggs",55
German Shepard ,1.5,Chicken and rice formula,30
Stray Dog,7,Meat Sausages Fish Egg ,15
Pomeranian Dog,2,"Meat, Fish, Yoghurt ",10
Stray dog,2,Fish and vegetables,7
Stray Dog,3,"Fish, meat, curd, yogurt",15
Stray dogs,10,Fish meat and carrots,15
Labrador,5,"Yoghurt,banana, curd , milk rice",48
Pomaneriyan,1,"Fish, meat, eggs, rice, bread, milk,... etc. ",15
Stray dog,10,"rice, potatoes, carrots,fish,chicken parts",20
Labrador ,2,"Chicken,Fish,Cheese",35
Shih Tzu,1,"Fish, Meat , Eggs",2
German Sherphered,2,Meat based food,25
Husky ,1,"Fish, biscuits and cheese",25
Stray dogs,12,"Meat, Rice, potatoes, carrots,fish,chicken parts",12
Labrador,1,"Meat based foods,vegetables ",50
German shepherd ,2,"Fish,egg,biscuits ",37
Lion shepherd ,1,Only meat and fish with rice,20
Stray Dog,7,Chicken cheese fish ,20
Cocker spiniel,2,"Fish,eggs, milk",17
Golden retriever ,3,"Chicken, pork, beef with rice",20
Doberman,5,Scraped coconut and dry fish,35
Labrador,1,"Chicken, pork fish with rice",55
German shepherd ,10,Salmon and potato with rice,30
Dachhund,4,"Meat, salmon, dhal",45
Dachhund,3,Fish mix with rice,20
Mongrel,9,Chicken and fish,20
Labrador,3,Chicken fish and cheese,60
Shitzu,1,Meat dog food and rice,5
Stray dog,4,Fish with rice and cheese,13
German shepherd ,1.5,Fish and chicken with rice,35
Stray dog,10,Chicken ane sosages,12
Stray dog ,11,Fish and Rice,35
Stray dog,11,"Chicken, fish and salmon",14
Husky,30,Fish snacks cheese,6
German shepherd ,2,"Chicken curd, leeks and carrot",37
Boberman,3,Pumpkin Chicken ,35
German shepherd ,4,Meat and fish,25
Rotweiler,3,"Chicken, Yourgurt and milky items",40
Labrador,4,Fish and chicken,18
Labradour Retriever ,6,Fish with rice and cheese,30
German Shepard,1.5,Dog food with yougourt,25
German shepherd ,2.5,Fish and chicken,25
German shepherd ,3,Chicken liver and butter,41
Rotweiler ,4,"Fish, rice, mango, potato, meat, cheese",40
Stray dog,5," cooked ground beef, brown rice, carrots, broccoli.",15
Stray Dog,8,Milk rice vegetables,15
Stray dogs,15,Chicken and fish,4
Boxer,2.5,Chicken with egg buscuits,30
Stray dogs,3,Fish dhal carrot,20
Labrador ,2.5," cooked ground beef, brown rice, carrots, broccoli.",40
German shepherd ,5,Boiled egg and fish,37
Husky,5," cooked ground beef, brown rice, carrots, broccoli.",6
German shepherd ,3,"Chicken, Yourgurt and milky items",30
Stray dogs,8,"Chicken, fish and dhal",20
Pomenarian,2.5,Meat with rice and yougourt,3
Cocker spaniel,2,"chicken, fish, beef, chicken parts, papaya, banana",50
Labrador ,1,Rice meat fish vegetables ,20
Rhodesian ridgeback,5,"chicken, fish, beef, chicken parts, papaya, banana",60
Labrador ,1,"cooked ground beef, brown rice, carrots, broccoli.",20
Stray dog,15,Fish chicken yougourt curd,3
Terrier,1,"cooked ground beef, brown rice, carrots, broccoli.",40
Stray dog,2,fruits and vegetables mostly,12
Stray dogs ,7,"meat, fish, dry fish",10
Stray dogs,11,"meat, cheese, fish",15
German Shepherd ,4,"Chicken, rice, vegetables ",45
Local Mixed Breed,2,"Rice, fish, vegetables",18
Stray Dogs,1,"Boiled fish, rice",15
Local Mixed Breed,5,"Boiled rice, fish, pumpkin",20
Labrador,4,"Fish, pumpkin, rice",48
Local Mixed Breed,2,"Rice, vegetables, eggs",25
German Shepherd,1,"Rice, boiled chicken, yogurt",9
Local Mixed Breed,8,"Rice, sardines, sweet potato",25
Local Mixed Breed,3,"Chicken, carrot, brown rice",33
 Labrador ,3,Chicken with rice,30
Beagle,6,"Boiled rice, fish, carrots",24
Dachshund,2,"Rice, sardines, pumpkin",20
Pomeranian,2, Fish with vegetables,5
Local Mixed Breed,10,"Soft food, rice, fish",25
 Dachshund,4,Beef with carrots,8
Local Mixed Breed,3,"Boiled rice, fish, pumpkin",8
Stray Dogs ,5,Meat with sausages,25
Labrador,2,Rice with fried fish,40
 Rottweiler,5," Fish, Carrot, Potatoes",37
Husky,3,Chicken with vegetables and rice,35
Rottweiler,5,"chicken, rice, carrots",44
Boxer,2,"lamb, brown rice, peas",24
Golden Retriever,8,"chicken, oats, carrots",34
Beagle,1,"beef, brown rice, green beans",11
German Shepherd,4,"chicken, oats, broccoli",38
stray dog,7,"rice, potatoes, carrots,fish,chicken parts",27
stray dog,3,"rice, chicken, greengram,fish",28
Dalmation ,2,"Meat, Boiled fish, rice",12
Stray dog,4,"Meat, Boiled fish, rice",15
golden retriever,6,"Rice, dog food (pedigree, Purina),fruits ",28
Shiba inu,4,Dry foods/kibble,14
Golden retriever ,4,"Rice, sardines, pumpkin",30
Poodle,5,"cooked chicken breast, sweet potatoes, green beans, apples.",25
Welsh Corgi,2,"Fish and rice or chicken with rice, Dog food ( pedigree, Purina)",13
Doberman ,3,"Cooked chicken breast, sweet potatoes, green beans, apples.",15
Bulldog,1.5,Meat with rice,10
German shepard,3,Meat and dog food,15
Labrador ,5,Dog Food meat and fish,20
French bull dog,1,"chicken, fish, beef, chicken parts, papaya, banana",10
Golden Retriever,3,dog food and meat,19
Siberian Husky,1,Chicken salmon boiled eggs ,10
Beagle,1,"Chicken, Salmon, dog food",9
Poddle,4,"Mix of rice with boiled chicken,Salmon with rice,Dog food ",12
Chihuahua,5,Fish and rice or chicken with rice,4
Dachshund ,3,"White Fish with rice, Boiled chicken with rice",4
Pomernarion ,4,"Boiled meat with rice, Grapes ",4
Samoyed ,3,"Dog Food, Apple,Meat and rice",10
Dalmatian ,4,"Boiled with rice, Dog food, Biscuits ",15
Stray dog,6,"Fish and meat with rice, Dog food",14
Chow chow,5,"Dog food, Boiled meat",1.8
Labrador Retriever,3,"Chicken, rice, and vegetables ",30
German Shepherd,2,"Beef, potatoes, and carrots ",25
Golden Retriever,4,"Turkey, quinoa, and broccoli ",28
Bulldog,5,"brown rice, and peas ",20
boxer,4,"Beef, and carrots ",27
 Dachshund,3,"Turkey, sweet potatoes, and peas",10
Rottweiler,5,"Duck, rice, and carrots ",35
street dog,2,Rice and chicken ,15
Beagle,1,"Fish, sweet potatoes, and spinach ",12
Dachshund,3,"Turkey,chicken,sweets",10
Cocker Spaniel ,2,"Chicken, rice, and carrots ",14
Stray Dog,5,"Meat,Fish,Cheese",20
Golden retriver,3,Pedigree food beef and rice,20
Stray dog ,2,"Flesh, Fish & Rice",7
Stray Dog ,5,Meat with sausages ,25
German Shepherd,4,"Beef, rice, carrots",35
Golden Retriever,1,"Chicken, sweet potatoes",30
Rhodesian Ridgeback,3,Meat and rice with dhal and yogurt,40
Labrador,2,Meat and rice with dhal and yogurt ,25
Beagle,6,"Turkey, potatoes, peas",18
Husky,3,Chicken with vegetables. and rice ,35
Rottweiler ,5," Fish, Carrot, Potatoes  ",37
Rottweiler,3,Rice with fried fish  ,43
Rottweiler,2,Fish and carrot ,30
Bullmastiff ,3,Only Fish and meat ,55
German Shepard ,1.5,Chicken and rice formula ,30
Stray dog,7,Meat Sausages Fish Egg ,15
Pomeranian Dog ,2," Meat, Fish, Yoghurt  ",10
Stray dog,2,Fish and vegetables,7
Stray dog,3,"Fish, meat, curd, yogurt  ",15
Labrador,5,"Yoghurt, banana, curd, milk rice ",48
Poodle,2,"Chicken, rice, broccoli",10
Stray Dogs,10,"Fish, meat , mango , papaya,",20
Boxer,5,"Turkey, quinoa, spinach",25
Pomeranian,1,"Fish, meat, eggs, rice, bread, milk",15
Shih Tzu,4,"Beef, sweet potatoes, green beans",7
Stray dog,9,"Chicken, brown rice, peas,, boiled vegetables",20
Dachshund,3,"Salmon, potatoes, carrots",8
Bulldog,2,"Lamb, brown rice, peas",20
Labrador,2,"cheese,sweets,fruits",22
Doberman Pinscher,2,"Chicken, brown rice, peas",32
Golden Retriever,3,"Rice with chicken curry, boiled vegetables",30
Rottweiler,2.5, Beef with rice and mixed vegetables,35
Cocker Spaniel,4," Fish curry with rice, boiled eggs",12
German Shepherd,5,"Lamb stew with rice, cooked pumpkin",40
Labrador,4,"Chicken biryani, boiled sweet potatoes",32
Labrador Retriever,6,"Fish curry with rice, cooked carrots,mango",35
Shih Tzu,3.5,"Chicken stew with rice, steamed broccoli",8
 Stray Dog,2,"Leftover rice and meat scraps, boiled lentils",20
Bulldog,4.5,"Beef stew with rice, mashed potatoes",25
Dachshund,3,"Pork curry with rice, cooked green beans",10
Corgi,2.5,"Lamb curry with rice, boiled carrots and potatoes",12
Boxer,3.5,"Chicken curry with rice, cooked spinach, mango , papaya, ",30
Husky,4,"Fish stew with rice, boiled peas",28
Doberman,3.5,"Beef curry with rice, cooked squash, apple",35
Rhodesian Ridgeback,4,"chicken, fish, beef, chicken parts, papaya, banana",38
Beagle,3,"cooked carrots, fish, chicken",14
Golden Retriever,2.5,"Fish and potato curry with rice, boiled broccoli, chicken parts",28
Rottweiler,3,"Chicken and lentil stew with rice, mango, banana",36
 Cocker Spaniel,4.5,"Beef and pumpkin curry with rice, boiled cauliflower",10
German Shepherd,5.5,"Lamb and carrot stew with rice, cooked green beans, milk rice,",42
 Labrador,3.5,"Chicken and sweet potato curry with rice, steamed spinach",34
Labrador Retriever,4,"Fish, chicken, mixed vegetable stew with rice, boiled carrots",37
Shih Tzu,2,"chicken and green bean curry with rice, boiled peas, boiled carrots",7
Stray Dog,4,"Leftover fish and rice, boiled lentils with carrots, chicken parts",30
Bulldog,4,"beef, chicken, rice, mashed potatoes",27
 Dachshund,3.5,"boiled potatoes, banana, papaya, chicken,fish",9
 Corgi,2,"fish, meat, boiled eggs, banana",11
Boxer,4,"chicken, cooked pumpkin, carrot",32
Rottweiler,2.5,"Lamb stew with rice, cooked pumpkin",28
German Shepherd ,7,"Chicken stew with rice, steamed broccoli",21
Labrador,5," Lamb and carrot stew with rice, cooked green beans, milk rice",36
Rottweiler,3,"Chicken stew with rice, steamed broccoli",31
Bulldog,2.5," Lamb and carrot stew with rice, cooked green beans, milk rice",40
Stray dog,8,"fish curry with rice, cooked carrots, mango",12
